    020002BJ9 026874DS3 081437AT2 097023CJ2 13645RAD6 13645RBF0 14448CBC7 15135BAW1 21871XAS8 24422EWZ8 24422EXP9 314353AA1 36166NAK9 438516CM6 443201AC2 444859BR2 444859BV3 444859BY7 444859CA8 45687VAB2 539830CD9 540424AT5 56501RAN6 655844CR7 655844CT3 75513EAD3 759351AP4 760759BA7 760759BC3 907818FX1 91324PEJ7 slack_Sx_0 slack_Sx_1 slack_Sx_2 slack_Sy_0 slack_Sy_1 slack_Sy_2 slack_Sy_3         energy num_oc.
599         1         0         1         0         0         0         0         1         0         0         1         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         1         0         1         0         0          0          0          0          1          0          0          0    -854112.875       1
139         0         0         1         0         0         0         0         1         0         0         1         0         1         0         1         0         1         0         0         0         0         1         0         0         0         0         1         0         0         0         1          0          0          0          0          0          0          0   -853075.3125       1
427         1         0         0         0         0         0         1         1         0         1         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         1         0          0          0          0          1          1          0          0    -852244.125       1
839         0         0         0         1         0         1         0         0         0         0         1         1         0         0         0         1         0         0         1         0         1         1         0         0         0         0         0         0         0         1         0          0          0          0          0          0          0          0     -850686.75       1
521         0         1         0         1         0         0         0         0         0         0         1         1         0         0         1         0         0         0         1         1         0         0         0         0         0         0         0         1         0         0         0          0          0          0          1          0          0          0    -850504.625       1
685         0         0         1         0         0         0         0         0         0         1         0         1         1         0         0         0         0         1         1         0         0         1         0         0         1         0         0         0         0         1         0          0          0          0          0          0          0          0     -850113.75       1
825         0         0         1         1         0         0         0         0         0         1         1         0         0         0         0         0         0         1         0         1         1         1         0         1         0         0         0         0         0         0         0          0          0          0          0          0          0          0      -849749.5       1
625         0         0         0         0         0         0         1         1         0         1         1         0         0         0         0         0         0         1         0         0         0         0         0         0         0         1         0         0         0         0         0          0          0          0          1          0          0          1    -849361.125       1
4           0         0         1         0         1         1         1         0         0         1         1         0         0         0         0         1         0         1         0         0         0         0         0         0         0         0         1         0         0         0         0          0          0          0          0          0          0          0  -849174.53125       1
605         0         1         0         0         0         0         1         0         0         0         1         1         0         1         1         1         0         0         0         0         0         0         0         0         1         0         0         0         0         1         0          0          0          0          0          0          0          0  -847127.09375       1
717         0         1         1         1         1         0         1         0         0         0         0         0         1         0         0         0         0         1         0         1         0         0         0         0         0         0         1         0         0         0         0          0          0          0          0          0          0          0  -846661.28125       1
35          0         1         0         0         0         1         1         0         0         0         1         1         0         0         0         1         0         0         0         1         0         0         1         0         0         0         0         0         0         0         1          0          0          0          0          0          0          0   -846079.5625       1
14          0         0         1         0         0         0         0         0         0         1         0         1         1         0         1         0         0         1         0         0         1         0         0         1         0         0         0         0         0         0         1          0          0          0          0          0          0          0      -845220.0       1
148         1         0         0         0         0         0         0         1         0         0         0         0         0         1         1         1         0         0         0         0         0         0         0         0         0         0         1         1         0         0         0          0          0          0          0          0          0          1   -843241.4375       1
971         0         0         0         1         0         1         0         0         0         0         1         1         1         1         0         0         0         0         0         0         0         0         0         0         0         0         1         1         1         0         0          0          0          0          0          0          0          0   -842696.3125       1
383         0         1         1         1         0         0         1         0         0         0         0         1         0         0         0         0         1         0         0         0         0         0         0         0         1         0         0         0         0         1         0          0          0          0          1          0          0          0   -840980.9375       1
569         0         0         0         0         1         1         0         1         0         0         0         0         0         1         0         0         0         0         0         1         0         1         0         0         0         1         0         1         0         0         0          0          0          0          1          0          0          0    -840560.375       1
728         1         0         1         0         1         1         1         0         0         0         0         1         0         0         0         0         0         0         0         1         1         0         1         0         0         0         0         0         0         0         0          0          0          0          0          0          0          0  -840350.09375       1
733         0         0         0         0         1         1         1         1         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         1         0         0         1         0         0         0          0          0          0          0          0          0          1   -839559.8125       1
301         0         1         0         0         1         0         0         1         0         0         0         0         1         0         0         0         1         0         1         0         0         0         0         0         1         1         0         0         0         0         0          0          0          0          1          0          0          0   -839341.3125       1
505         0         0         0         1         1         0         0         0         1         0         0         1         0         0         1         0         0         0         0         0         1         0         0         1         1         0         0         0         0         1         0          0          0          0          0          0          0          0    -839135.125       1
912         0         0         1         0         0         0         0         0         0         1         0         1         0         0         0         0         1         1         0         1         0         0         0         0         1         0         0         1         0         1         0          0          0          0          0          0          0          0    -836714.375       1
297         1         0         1         1         0         0         1         0         1         0         0         0         1         0         0         0         0         0         0         1         1         0         1         0         0         0         0         0         0         0         0          0          0          0          0          0          0          0    -835636.625       1
479         0         0         1         0         0         0         1         1         1         0         0         0         0         0         0         0         0         1         1         0         1         1         0         0         0         0         0         0         0         0         0          0          0          0          1          0          0          0   -834858.6875       1
783         0         1         0         1         0         1         1         0         1         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         1         1         0         1         0         0         0          0          0          0          0          0          0          0    -834402.125       1
741         0         1         1         1         1         0         0         0         0         0         0         0         0         1         0         0         0         0         0         1         0         0         0         0         1         1         0         0         0         1         0          0          0          0          0          0          0          0     -833986.25       1
848         0         0         0         0         0         0         0         1         0         0         1         0         1         0         0         0         0         0         1         0         1         0         0         0         1         1         0         0         1         0         1          0          0          0          0          0          0          0    -833842.625       1
165         0         0         0         1         0         0         1         0         1         1         0         0         0         0         0         1         1         0         0         0         0         0         0         0         1         1         1         0         0         0         0          0          0          0          0          0          0          0   -833399.5625       1
528         0         1         1         0         0         1         0         0         1         0         0         1         0         0         0         0         0         1         0         0         1         0         1         0         0         0         0         1         0         0         0          0          0          0          0          0          0          0   -832516.4375       1
934         0         1         0         1         0         0         0         0         0         0         1         0         1         1         1         0         0         0         0         0         0         0         0         0         1         0         0         0         0         1         1          0          0          0          0          0          0          0   -832126.9375       1
756         1         0         1         0         1         0         1         0         0         1         1         0         0         0         0         1         0         1         1         0         0         0         0         0         0         0         0         0         0         0         0          0          0          0          0          0          0          0  -830858.40625       1
426         0         0         0         0         1         0         0         1         0         0         1         1         0         0         0         0         1         0         0         0         0         0         0         1         0         1         0         0         0         0         1          0          0          0          1          0          0          0    -829546.875       1
959         0         1         0         0         0         0         0         1         0         0         1         0         0         0         0         1         0         0         0         0         0         0         0         0         0         1         1         1         0         0         0          0          0          0          0          0          0          1     -829206.25       1
97          0         0         0         0         0         1         0         1         0         0         0         0         0         0         0         1         0         1         0         0         1         0         0         0         0         0         0         1         0         1         0          0          0          0          0          1          0          0    -828362.375       1
927         1         0         0         0         0         0         0         1         0         0         1         1         0         0         0         0         1         0         0         0         0         0         0         0         1         0         0         0         1         0         0          0          0          0          0          1          0          0    -828132.625       1
338         0         0         0         0         1         0         0         1         0         1         0         0         0         0         0         0         0         0         0         0         1         0         0         1         0         0         0         0         1         1         0          0          0          0          0          0          0          1    -828108.125       1
25          1         1         1         0         0         0         0         0         0         1         0         0         0         0         1         0         1         0         0         0         0         0         0         0         1         0         1         1         0         0         0          0          0          0          0          0          0          0     -828096.25       1
901         0         0         0         0         0         0         0         1         0         0         0         0         0         0         1         1         1         0         0         0         0         0         0         1         1         0         0         1         1         1         0          0          0          0          0          0          0          0   -827888.9375       1
157         0         0         0         0         0         1         1         1         0         0         1         0         0         0         0         0         1         1         0         0         0         1         0         0         1         0         0         0         0         0         0          0          0          0          1          0          0          0   -827318.8125       1
687         0         0         0         1         0         1         0         0         0         0         0         1         0         0         0         0         0         0         0         1         0         0         1         1         0         1         1         0         0         1         0          0          0          0          0          0          0          0   -825469.0625       1
518         0         0         0         0         0         0         0         1         0         0         1         0         0         0         0         0         0         1         1         0         0         1         0         1         1         0         0         0         1         1         0          0          0          0          0          0          0          0     -824965.25       1
902         0         1         0         1         0         0         0         0         0         0         1         1         0         0         0         0         0         0         1         0         1         0         0         0         0         1         0         0         1         1         0          0          0          0          0          0          0          0   -824048.3125       1
888         0         0         0         1         1         0         0         1         0         0         0         0         1         0         0         0         1         0         0         0         0         0         0         0         0         1         0         1         0         0         0          0          0          0          0          0          0          1    -823847.375       1
713         0         1         0         0         0         0         1         1         0         0         1         0         0         0         0         0         0         0         0         0         1         0         0         0         0         1         0         0         0         0         1          0          0          0          0          1          0          0    -823709.875       1
986         0         1         0         0         0         0         1         0         0         1         0         0         1         0         1         0         0         1         0         1         0         0         0         1         0         0         0         0         0         0         1          0          0          0          0          0          0          0    -823155.125       1
936         1         0         1         1         1         0         0         0         0         0         0         0         1         0         0         0         0         0         1         1         0         0         0         0         1         0         1         0         0         0         0          0          0          0          0          0          0          0   -822718.9375       1
173         1         1         0         0         0         0         1         0         0         1         1         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         1         0         1         0          0          0          0          1          0          0          0   -822449.3125       1
645         0         0         0         0         0         1         1         0         0         1         1         0         0         0         1         1         0         0         1         0         0         0         0         1         0         0         1         0         0         0         0          0          0          0          0          0          0          0    -821495.875       1
397         0         0         0         0         0         1         1         0         0         1         0         0         1         0         1         0         0         0         0         1         0         0         0         1         0         0         1         1         0         0         0          0          0          0          0          0          0          0      -821487.0       1
570         0         0         0         1         0         0         0         0         0         1         0         1         1         0         0         0         0         0         0         0         0         1         0         0         0         0         0         1         1         1         0          0          0          0          1          0          0          0    -821353.125       1
703         0         0         0         0         0         0         0         0         1         1         1         1         0         0         0         1         0         1         0         0         0         1         0         0         1         1         0         0         0         0         0          0          0          0          0          0          0          0      -819458.5       1
273         0         1         0         0         1         0         0         0         0         1         1         0         0         0         0         1         0         0         0         1         0         0         0         0         0         0         1         0         0         1         1          0          0          0          0          0          0          0   -819333.8125       1
332         1         0         1         1         0         0         0         0         0         0         0         0         0         1         1         0         0         0         0         1         0         0         0         0         1         1         1         0         0         0         0          0          0          0          0          0          0          0   -819119.6875       1
786         0         0         1         0         1         0         0         0         0         1         0         1         1         0         0         0         0         0         1         0         1         0         0         0         0         0         0         1         1         0         0          0          0          0          0          0          0          0     -819072.25       1
524         0         0         0         0         1         0         0         1         0         0         0         0         0         0         1         0         0         0         1         0         0         1         1         1         0         1         0         0         0         0         1          0          0          0          0          0          0          0    -819017.375       1
908         0         0         0         0         0         0         0         1         1         0         0         0         0         0         0         0         0         0         1         1         0         0         0         0         0         0         0         1         1         1         1          0          0          0          1          0          0          0   -815607.8125       1
630         1         0         0         0         0         0         0         0         0         1         0         1         0         1         1         1         0         0         0         0         0         0         0         0         1         0         0         0         0         0         1          0          0          0          1          0          0          0     -815523.75       1
158         0         0         1         1         0         0         0         0         0         0         0         1         1         0         0         1         0         0         0         0         0         1         1         1         0         0         0         1         0         0         0          0          0          0          0          0          0          0    -815508.375       1
512         1         1         0         1         1         1         0         0         0         0         0         0         0         0         0         1         0         1         0         0         0         0         0         0         1         0         0         0         0         0         0          0          0          0          1          0          0          0  -815448.71875       1
847         1         0         0         0         1         0         1         0         0         1         0         0         0         1         0         1         0         0         0         1         0         0         0         0         0         1         0         0         0         1         0          0          0          0          0          0          0          0   -815244.5625       1
813         0         1         0         1         1         0         0         0         0         1         0         0         0         0         1         0         0         0         0         0         0         0         0         1         0         1         0         1         0         0         0          0          0          0          1          0          0          0   -814839.6875       1
439         0         1         1         0         0         0         0         0         1         0         0         1         0         0         0         0         0         0         0         1         0         0         1         0         1         1         1         0         0         0         0          0          0          0          0          0          0          0   -813205.6875       1
944         0         0         0         0         0         0         0         1         1         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         1         0         1         0         1         1         1          0          0          0          1          0          0          0   -812338.9375       1
291         1         0         0         0         0         0         0         1         1         0         1         0         0         0         0         0         1         0         0         0         1         0         1         0         0         0         0         1         1         0         0          0          0          0          0          0          0          0   -811955.6875       1
980         0         0         1         1         0         1         0         0         1         0         1         1         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0          0          0          0          0          0          0          1  -810735.96875       1
680         0         1         0         0         0         0         1         0         0         1         0         0         1         1         0         1         0         0         0         0         1         0         0         1         0         1         0         0         0         0         0          0          0          0          0          0          0          0      -809271.0       1
659         0         1         0         0         0         1         0         0         1         0         0         1         0         0         0         1         0         1         1         0         1         0         0         0         0         0         0         1         0         0         0          0          0          0          0          0          0          0    -808624.375       1
60          0         1         0         0         0         0         0         0         0         1         1         0         1         0         0         1         0         1         0         0         0         1         0         0         1         0         0         0         0         1         0          0          0          0          0          0          0          0    -807366.875       1
957         0         1         0         0         1         0         0         0         0         1         0         0         0         0         1         0         0         0         1         1         0         0         0         1         0         0         0         1         0         1         0          0          0          0          0          0          0          0     -807129.25       1
861         0         0         0         0         0         0         0         0         0         1         0         1         0         0         1         0         0         1         0         1         0         0         1         0         0         0         1         1         1         0         0          0          0          0          0          0          0          0     -805182.75       1
264         1         0         1         0         0         0         1         0         1         0         0         1         1         0         0         0         0         0         0         1         0         0         0         1         0         0         0         0         0         0         1          0          0          0          0          0          0          0      -805087.5       1
302         0         0         0         1         0         0         0         0         1         0         1         1         0         0         0         1         0         0         1         0         0         0         0         0         1         0         0         0         1         0         1          0          0          0          0          0          0          0   -805044.9375       1
36          0         1         0         0         0         0         1         0         1         1         1         0         0         1         0         0         0         0         0         0         0         1         1         0         0         0         0         1         0         0         0          0          0          0          0          0          0          0    -804994.125       1
150         1         0         0         0         0         1         0         0         0         1         1         0         0         0         0         0         0         0         0         0         1         0         1         0         1         0         0         0         0         1         1          0          0          0          0          0          0          0    -804740.375       1
864         0         1         0         0         1         0         1         0         0         1         0         0         1         0         0         0         0         0         1         0         1         0         1         1         0         0         0         0         0         0         0          0          0          0          0          0          0          0   -804335.3125       1
244         0         1         1         0         0         0         0         0         0         1         1         0         1         0         1         1         1         0         0         0         0         0         0         1         0         0         0         0         0         0         0          0          0          0          0          0          0          0  -803980.78125       1
464         1         0         0         1         0         0         1         0         0         1         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         1         0         0         1         0         0          0          0          0          1          0          0          0   -803450.9375       1
494         0         1         0         0         0         1         0         0         1         0         0         1         1         0         0         1         0         0         0         0         1         1         0         0         0         0         0         1         0         0         0          0          0          0          0          0          0          0   -803256.9375       1
681         1         1         0         1         0         0         0         0         0         0         0         1         0         0         0         1         0         0         0         0         0         0         0         0         1         0         1         0         0         0         0          0          0          0          0          0          0          1    -803091.125       1
401         0         1         0         0         0         0         0         0         1         1         0         0         0         1         0         1         0         0         1         0         1         0         0         0         0         0         0         1         0         0         1          0          0          0          0          0          0          0   -801994.5625       1
28          1         0         0         1         0         1         1         0         0         0         0         0         1         0         1         0         0         0         0         0         0         0         0         1         1         0         0         0         1         0         0          0          0          0          0          0          0          0   -801457.1875       1
356         0         1         0         1         0         1         1         0         0         0         1         0         0         0         0         1         0         1         0         0         0         1         0         0         0         1         0         0         0         0         0          0          0          0          0          0          0          0  -801078.34375       1
333         0         0         0         1         0         0         1         0         0         1         1         0         0         0         0         0         0         0         0         0         1         0         1         1         0         0         1         0         0         0         0          0          0          0          1          0          0          0    -800266.375       1
92          0         0         0         0         0         0         0         1         1         0         0         0         0         1         0         1         1         1         0         1         1         0         0         0         0         0         0         0         1         0         0          0          0          0          0          0          0          0      -800232.0       1
201         1         0         0         0         1         0         0         0         0         1         0         1         0         0         0         0         0         0         0         0         0         1         0         0         1         0         1         0         0         1         1          0          1          0          0          0          0          0   -800093.9375       1
46          1         0         1         1         0         0         0         0         1         0         0         0         0         1         1         0         0         1         1         0         0         0         0         0         0         0         0         1         0         0         0          0          0          0          0          0          0          0   -799565.3125       1
85          1         0         0         1         0         0         1         0         0         0         0         1         0         0         0         0         0         1         0         0         0         0         0         0         1         1         0         0         1         0         1          0          0          0          0          0          0          0    -799100.125       1
722         0         1         0         1         0         0         0         0         1         0         0         0         1         1         0         0         0         1         0         1         0         1         0         0         0         0         0         0         0         1         0          0          0          0          0          0          0          0    -798995.625       1
170         0         0         0         0         0         1         0         0         0         1         0         1         0         0         1         0         1         1         1         0         0         0         0         0         0         0         0         0         1         1         0          0          0          0          0          0          0          0   -798814.3125       1
43          0         0         0         1         0         0         1         0         0         0         0         1         0         0         1         0         0         1         0         0         0         0         0         0         1         0         1         1         0         0         0          0          0          0          1          0          0          0   -798605.4375       1
554         0         0         0         1         1         1         1         0         1         0         0         0         0         0         1         0         0         0         0         0         1         1         0         0         0         0         0         0         0         1         0          0          0          0          0          0          0          0      -798141.5       1
820         0         1         0         0         0         0         0         1         1         0         1         0         0         0         1         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0          0          0          0          1          1          0          0    -797801.125       1
489         1         0         1         1         0         1         0         0         1         0         1         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         1         0         0         0         0          0          0          0          1          0          0          0   -797775.5625       1
958         0         0         0         1         0         0         0         0         0         1         0         1         0         1         0         0         1         0         0         1         0         0         0         0         0         0         1         0         0         0         0          0          0          0          0          0          0          1    -797620.125       1
310         0         0         0         1         0         0         1         0         0         0         1         1         1         0         1         0         1         1         0         0         0         0         0         0         0         0         1         0         0         0         0          0          0          0          0          0          0          0   -796274.4375       1
571         1         1         0         0         0         1         1         0         0         0         0         0         0         0         1         1         0         1         0         0         1         0         0         0         1         0         0         0         0         0         0          0          0          0          0          0          0          0  -794853.03125       1
580         1         1         0         0         1         0         0         0         1         0         0         1         0         0         0         0         0         0         0         0         1         0         0         0         0         1         1         0         0         1         0          0          0          0          0          0          0          0    -794720.625       1
696         0         0         0         1         0         0         0         0         0         0         0         1         1         0         0         0         0         0         1         0         0         0         0         1         0         0         1         1         0         1         1          0          0          0          0          0          0          0    -794472.125       1
833         0         0         0         0         0         1         0         1         0         0         1         0         0         0         0         0         0         0         0         0         0         1         0         0         1         0         0         1         0         1         0          0          0          0          0          0          0          1    -793830.375       1
362         0         0         0         1         0         0         0         0         0         1         0         0         1         0         0         0         0         0         1         0         0         1         0         1         0         1         0         1         0         1         0          0          0          0          0          0          0          0    -793508.625       1
600         0         0         1         1         0         0         0         0         0         0         1         1         0         1         0         0         0         1         0         0         0         0         0         0         0         1         0         0         0         1         0          0          0          0          1          0          0          0    -793500.375       1
966         0         0         0         0         0         0         1         1         1         0         0         0         0         0         0         0         0         1         0         0         0         0         1         0         0         0         1         1         0         0         0          0          0          0          0          0          0          1    -793139.625       1
610         0         0         0         1         0         1         1         0         0         0         0         1         0         0         0         1         1         1         1         0         0         1         0         0         0         0         0         0         0         0         0          0          0          0          0          0          0          0  -792644.09375       1
488         1         0         0         0         0         1         0         0         1         1         0         0         0         1         0         0         0         0         0         1         0         0         0         0         0         1         0         1         1         0         0          0          0          0          0          0          0          0   -792121.1875       1
917         0         0         1         0         0         0         0         0         0         1         0         1         1         0         0         0         1         0         0         0         0         0         0         1         0         0         0         1         0         1         1          0          0          0          0          0          0          0     -790295.75       1
706         1         0         0         0         0         0         0         0         0         1         0         0         0         1         1         1         0         1         0         0         0         0         1         0         0         1         0         0         0         1         0          0          0          0          0          0          0          0      -790153.5       1
211         0         0         0         1         1         1         0         0         1         0         0         0         1         1         0         0         0         0         0         0         0         0         1         0         0         0         1         0         0         0         1          0          0          0          0          0          0          0   -789970.5625       1
566         0         0         0         0         1         1         0         0         0         1         0         1         0         0         0         1         0         0         0         0         1         1         0         1         0         0         0         0         0         0         1          1          0          0          0          0          0          0   -789826.5625       1
131         1         0         0         0         0         0         1         0         0         1         0         0         0         0         0         1         0         0         0         0         0         0         1         0         1         0         1         1         0         0         1          0          0          0          0          0          0          0   -788857.8125       1
